TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,BalanceBin,AmountBin,Target
14.089999999999975,Debit,ATM,70.0,Doctor,81.0,1.0,5112.21,High,Low,0
376.24,Debit,ATM,68.0,Doctor,141.0,1.0,13758.91,Very High,High,2
126.29000000000002,Debit,Online,19.0,Student,56.0,1.0,1122.3500000000004,Low,Medium,3
184.5,Debit,Online,26.0,Student,25.0,1.0,8569.06,Very High,Medium,2
13.449999999999989,Credit,Online,45.0,Student,198.0,1.0,7429.4,High,Low,1
92.15,Debit,ATM,18.0,Student,172.0,1.0,781.6800000000003,Low,Medium,3
7.079999999999984,Credit,ATM,37.0,Doctor,139.0,1.0,13316.71,Very High,Low,2
171.42,Credit,Branch,67.0,Retired,291.0,1.0,2796.24,Medium,Medium,1
106.23000000000002,Credit,Branch,51.0,Engineer,86.0,1.0,9095.14,Very High,Medium,2
815.96,Debit,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,Low,Very High,4
17.779999999999973,Credit,Online,52.0,Engineer,59.0,1.0,7599.52,High,Low,0
190.02,Debit,Online,21.0,Student,173.0,1.0,1528.81,Medium,Medium,3
494.52,Credit,Branch,24.000000000000004,Student,111.0,1.0,1620.02,Medium,Very High,3
781.76,Debit,ATM,26.0,Student,123.0,1.0,189.6899999999996,Low,Very High,4
166.99,Debit,Online,18.0,Student,134.0,1.0,299.9300000000003,Low,Medium,3
465.45,Debit,ATM,36.0,Engineer,129.0,1.0,3465.54,Medium,Very High,4
555.8,Credit,Branch,19.0,Student,158.0,1.0,1131.2600000000002,Low,Very High,3
492.93,Debit,Online,39.0,Engineer,234.0,1.0,5109.97,High,Very High,1
18.680000000000007,Credit,Branch,59.0,Retired,106.0,1.0,7948.37,Very High,Low,0
71.47999999999999,Credit,Online,18.0,Student,169.0,1.0,6568.59,High,Low,3
59.31999999999999,Debit,Branch,71.0,Retired,38.0,1.0,5750.89,High,Low,0
85.76999999999998,Debit,Branch,38.0,Doctor,93.0,1.0,9146.19,Very High,Medium,2
52.19999999999999,Debit,Online,39.0,Engineer,120.0,1.0,8974.93,Very High,Low,2
345.84,Debit,Online,22.0,Student,142.0,1.0,1402.5,Low,High,3
145.54,Debit,Online,21.0,Student,96.0,1.0,1930.96,Medium,Medium,3
7.490000000000009,Credit,Online,65.0,Retired,276.0,1.0,3634.67,Medium,Low,1
246.93,Debit,ATM,23.0,Student,158.0,1.0,673.3500000000004,Low,High,3
40.31999999999999,Debit,Branch,37.0,Engineer,95.0,1.0,2686.52,Medium,Low,3
127.44999999999999,Debit,Online,44.0,Doctor,197.0,1.0,1772.06,Medium,Medium,1
56.170000000000016,Debit,Branch,27.0,Student,283.0,1.0,1351.69,Low,Low,1
28.310000000000002,Credit,Online,59.0,Doctor,20.0,1.0,8334.47,Very High,Low,0
59.120000000000005,Debit,ATM,29.0,Doctor,257.0,1.0,9823.64,Very High,Low,1
396.45,Debit,ATM,49.0,Engineer,168.0,1.0,9690.15,Very High,High,2
877.81,Debit,Online,22.0,Student,150.0,1.0,399.0,Low,Very High,4
255.26,Credit,Branch,45.0,Doctor,50.0,1.0,14815.869999999999,Very High,High,2
124.75999999999999,Debit,Branch,49.0,Engineer,45.0,1.0,5764.72,High,Medium,0
78.13,Debit,Branch,26.0,Student,145.0,1.0,900.6099999999997,Low,Low,3
649.28,Debit,ATM,75.0,Retired,137.0,1.0,4875.86,High,Very High,4
795.31,Debit,ATM,66.0,Doctor,90.0,1.0,7914.88,Very High,Very High,4
